x_world,z_world
-0.205282,-0.957239
-0.210447,-0.954169
-0.215615,-0.951125
-0.220812,-0.948111
-0.226015,-0.945101
-0.231223,-0.942092
-0.236434,-0.939081
-0.241649,-0.936066
-0.246865,-0.933049
-0.252082,-0.930030
-0.257299,-0.927009
-0.262516,-0.923988
-0.267734,-0.920966
-0.272950,-0.917944
-0.278167,-0.914922
-0.283384,-0.911900
-0.288600,-0.908878
-0.293817,-0.905856
-0.299033,-0.902834
-0.304250,-0.899812
-0.309467,-0.896790
-0.314683,-0.893768
-0.319900,-0.890746
-0.325116,-0.887724
-0.330333,-0.884702
-0.335550,-0.881680
-0.340766,-0.878658
-0.345983,-0.875636
-0.351200,-0.872613
-0.356418,-0.869591
-0.361635,-0.866569
-0.366853,-0.863549
-0.372085,-0.860553
-0.377386,-0.857670
-0.382701,-0.855130
-0.387573,-0.853330
-0.391728,-0.852407
-0.396839,-0.852103
-0.398826,-0.852166
-0.400063,-0.852063
-0.400678,-0.851979
-0.405119,-0.851353
-0.410997,-0.851289
-0.416891,-0.851661
-0.422898,-0.852123
-0.428890,-0.852660
-0.434877,-0.853236
-0.440865,-0.853833
-0.446856,-0.854436
-0.452850,-0.855037
-0.458847,-0.855643
-0.464839,-0.856357
-0.470787,-0.857538
-0.476695,-0.859158
-0.479029,-0.860086
-0.481545,-0.860824
-0.487376,-0.862191
-0.493126,-0.864027
-0.498645,-0.866277
-0.501904,-0.867945
-0.504502,-0.869217
-0.509962,-0.871526
-0.515324,-0.874299
-0.520165,-0.877312
-0.522301,-0.878881
-0.525880,-0.881122
-0.530919,-0.884401
-0.535712,-0.888078
-0.538692,-0.890752
-0.540582,-0.892475
-0.545266,-0.896157
-0.545257,-0.896151
-0.547377,-0.896907
-0.552315,-0.897836
-0.554294,-0.898063
-0.555458,-0.898316
-0.556045,-0.898473
-0.556323,-0.898552
-0.560534,-0.899558
-0.566282,-0.900069
-0.571844,-0.900122
-0.577146,-0.900093
-0.582476,-0.900091
-0.588485,-0.900070
-0.594499,-0.899919
-0.600514,-0.899697
-0.606531,-0.899430
-0.612549,-0.899126
-0.618567,-0.898796
-0.624586,-0.898448
-0.630604,-0.898088
-0.636623,-0.897720
-0.642641,-0.897345
-0.648658,-0.896968
-0.654676,-0.896588
-0.660693,-0.896208
-0.666710,-0.895827
-0.672727,-0.895446
-0.678758,-0.895182
-0.684842,-0.895383
-0.690912,-0.896055
-0.694891,-0.896888
-0.696701,-0.897290
-0.701488,-0.897746
-0.707450,-0.898588
-0.713360,-0.899888
-0.718790,-0.901545
-0.721490,-0.902570
-0.724893,-0.903628
-0.730644,-0.905364
-0.736277,-0.907552
-0.741066,-0.909850
-0.743550,-0.911187
-0.747619,-0.912972
-0.753014,-0.915640
-0.758210,-0.918730
-0.761605,-0.921102
-0.763750,-0.922703
-0.763799,-0.922696
-0.763799,-0.922730
-0.764806,-0.922595
-0.766581,-0.922658
-0.768394,-0.922923
-0.769626,-0.923486
-0.772531,-0.924207
-0.778313,-0.925176
-0.784388,-0.925606
-0.790455,-0.925536
-0.794765,-0.925137
-0.796476,-0.924966
-0.801425,-0.924995
-0.807442,-0.924767
-0.813453,-0.924070
-0.818471,-0.923099
-0.821691,-0.922375
-0.825928,-0.921617
-0.831824,-0.920360
-0.837634,-0.918679
-0.841743,-0.917139
-0.844545,-0.916039
-0.850263,-0.914223
-0.855993,-0.912405
-0.861719,-0.910531
-0.866790,-0.908658
-0.869971,-0.907025
-0.872314,-0.905302
-0.871934,-0.905573
-0.871719,-0.905734
-0.871594,-0.905824
-0.871522,-0.905873
-0.871480,-0.905900
-0.872848,-0.904495
-0.875461,-0.901106
